ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
E048,241.0,240-246.99,DISORDERS OF THYROID GLAND
E049,240.0,240-246.99,DISORDERS OF THYROID GLAND
E05,242.0,240-246.99,DISORDERS OF THYROID GLAND
E050,242.1,240-246.99,DISORDERS OF THYROID GLAND
E051,242.0,240-246.99,DISORDERS OF THYROID GLAND
E052,242.2,240-246.99,DISORDERS OF THYROID GLAND
E053,242.0,240-246.99,DISORDERS OF THYROID GLAND
E054,242.0,240-246.99,DISORDERS OF THYROID GLAND
E055,242.0,240-246.99,DISORDERS OF THYROID GLAND
E058,253.1,251-259.99,Other endocrine disorders
E059,242.0,240-246.99,DISORDERS OF THYROID GLAND
E060,245.1,240-246.99,DISORDERS OF THYROID GLAND
E061,245.1,240-246.99,DISORDERS OF THYROID GLAND
E062,245.2,240-246.99,DISORDERS OF THYROID GLAND
E063,245.21,240-246.99,DISORDERS OF THYROID GLAND
E064,245.0,240-246.99,DISORDERS OF THYROID GLAND
E065,245.2,240-246.99,DISORDERS OF THYROID GLAND
E069,245.0,240-246.99,DISORDERS OF THYROID GLAND
E070,246.0,240-246.99,DISORDERS OF THYROID GLAND
E071,246.0,240-246.99,DISORDERS OF THYROID GLAND
E078,246.0,240-246.99,DISORDERS OF THYROID GLAND
E079,246.0,240-246.99,DISORDERS OF THYROID GLAND
E100,250.1,249-250.99,DIABETES
E101,250.11,249-250.99,DIABETES
E102,250.12,249-250.99,DIABETES
E103,250.23,249-250.99,DIABETES
E103,250.7,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye
E103,250.13,249-250.99,DIABETES
E104,250.14,249-250.99,DIABETES
E104,250.24,249-250.99,DIABETES
E105,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E105,,,
E106,250.1,249-250.99,DIABETES
E107,250.1,249-250.99,DIABETES
E108,250.1,249-250.99,DIABETES
E109,250.1,249-250.99,DIABETES
E110,250.2,249-250.99,DIABETES
E111,250.21,249-250.99,DIABETES
E112,250.22,249-250.99,DIABETES
E113,250.23,249-250.99,DIABETES
E114,250.24,249-250.99,DIABETES
E115,,,
E115,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E116,250.2,249-250.99,DIABETES
E117,250.2,249-250.99,DIABETES
E118,250.2,249-250.99,DIABETES
E119,250.2,249-250.99,DIABETES
E121,260.2,260-264.99,Nutritional deficiencies
E121,249.0,249-250.99,DIABETES
E122,260.2,260-264.99,Nutritional deficiencies
E122,249.0,249-250.99,DIABETES
E123,250.23,249-250.99,DIABETES
E128,249.0,249-250.99,DIABETES
E129,249.0,249-250.99,DIABETES
E131,,,
E131,250.21,249-250.99,DIABETES
E133,250.7,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye
E134,250.24,249-250.99,DIABETES
E135,250.2,249-250.99,DIABETES
E136,250.2,249-250.99,DIABETES
E137,250.2,249-250.99,DIABETES
E138,250.2,249-250.99,DIABETES
E139,250.2,249-250.99,DIABETES
E140,,,
E141,,,
E142,,,
E143,,,
E144,,,
E145,,,
E145,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E146,,,
E147,,,
E148,,,
E149,250.2,249-250.99,DIABETES
E149,,,
E15,251.1,249-259.99,Endocrine disorders and DM
E160,251.1,249-259.99,Endocrine disorders and DM
E161,251.1,249-259.99,Endocrine disorders and DM
E162,251.1,249-259.99,Endocrine disorders and DM
E163,251.8,251-259.99,Other endocrine disorders
E164,251.8,251-259.99,Other endocrine disorders
E168,251.0,251-259.99,Other endocrine disorders
E169,251.0,251-259.99,Other endocrine disorders
E201,275.5,275-275.99,Disorders of mineral metabolism
E208,252.2,251-259.99,Other endocrine disorders
E209,252.2,251-259.99,Other endocrine disorders
E210,252.1,251-259.99,Other endocrine disorders
E211,252.1,251-259.99,Other endocrine disorders
E212,252.1,251-259.99,Other endocrine disorders
E213,252.1,251-259.99,Other endocrine disorders
E214,252.0,251-259.99,Other endocrine disorders
E215,252.0,251-259.99,Other endocrine disorders
E220,253.11,251-259.99,Other endocrine disorders
E221,253.1,251-259.99,Other endocrine disorders
E222,253.7,251-259.99,Other endocrine disorders
E228,253.1,251-259.99,Other endocrine disorders
E229,253.1,251-259.99,Other endocrine disorders
E230,253.2,251-259.99,Other endocrine disorders
E231,258.0,251-259.99,Other endocrine disorders
E232,253.3,251-259.99,Other endocrine disorders
E233,253.0,251-259.99,Other endocrine disorders
E236,253.0,251-259.99,Other endocrine disorders
E237,253.0,251-259.99,Other endocrine disorders
E240,255.11,251-259.99,Other endocrine disorders
E241,253.0,251-259.99,Other endocrine disorders
E242,255.11,251-259.99,Other endocrine disorders
E243,255.11,251-259.99,Other endocrine disorders
E248,255.11,251-259.99,Other endocrine disorders
E249,255.11,251-259.99,Other endocrine disorders
E250,255.3,251-259.99,Other endocrine disorders
E258,255.3,251-259.99,Other endocrine disorders
E259,255.3,251-259.99,Other endocrine disorders
E260,255.12,251-259.99,Other endocrine disorders
E261,255.12,251-259.99,Other endocrine disorders
E268,255.12,251-259.99,Other endocrine disorders
E269,255.12,251-259.99,Other endocrine disorders
E270,255.1,251-259.99,Other endocrine disorders
E271,255.21,251-259.99,Other endocrine disorders
E272,255.21,251-259.99,Other endocrine disorders
E273,255.21,251-259.99,Other endocrine disorders
E274,255.21,251-259.99,Other endocrine disorders
E275,255.13,251-259.99,Other endocrine disorders
E278,255.0,251-259.99,Other endocrine disorders
E279,255.0,251-259.99,Other endocrine disorders
E281,256.0,251-259.99,Other endocrine disorders
E282,256.4,251-259.99,Other endocrine disorders
E283,627.5,626-628.99," menstrual/menopausal disorders, female infertility"
E288,256.0,251-259.99,Other endocrine disorders
E289,256.0,251-259.99,Other endocrine disorders
E290,257.0,251-259.99,Other endocrine disorders
E291,257.1,251-259.99,Other endocrine disorders
E298,257.0,251-259.99,Other endocrine disorders
E299,257.0,251-259.99,Other endocrine disorders
E300,259.3,251-259.99,Other endocrine disorders
E301,259.4,251-259.99,Other endocrine disorders
E308,259.4,251-259.99,Other endocrine disorders
E309,259.0,251-259.99,Other endocrine disorders
E310,259.0,251-259.99,Other endocrine disorders
E311,259.0,251-259.99,Other endocrine disorders
E318,259.0,251-259.99,Other endocrine disorders
E319,259.0,251-259.99,Other endocrine disorders
E320,254.0,251-259.99,Other endocrine disorders
E328,254.0,251-259.99,Other endocrine disorders
E329,254.0,251-259.99,Other endocrine disorders
E340,259.2,251-259.99,Other endocrine disorders
E341,259.0,251-259.99,Other endocrine disorders
E342,259.0,251-259.99,Other endocrine disorders
E343,259.0,251-259.99,Other endocrine disorders
E345,259.0,251-259.99,Other endocrine disorders
E348,259.0,251-259.99,Other endocrine disorders
E349,259.0,251-259.99,Other endocrine disorders
E351,255.0,251-259.99,Other endocrine disorders
E41,260.22,260-264.99,Nutritional deficiencies
E43,277.0,277-277.99,Other/unspecified disorders of metabolism
E43,263.0,260-264.99,Nutritional deficiencies
E43,1002.0,,
E440,260.0,260-264.99,Nutritional deficiencies
E441,260.0,260-264.99,Nutritional deficiencies
E45,260.2,260-264.99,Nutritional deficiencies
E46,260.0,260-264.99,Nutritional deficiencies
E502,261.1,260-264.99,Nutritional deficiencies
E503,261.1,260-264.99,Nutritional deficiencies
E504,261.1,260-264.99,Nutritional deficiencies
E505,261.1,260-264.99,Nutritional deficiencies
E506,261.1,260-264.99,Nutritional deficiencies
E507,261.1,260-264.99,Nutritional deficiencies
E508,261.1,260-264.99,Nutritional deficiencies
E509,261.1,260-264.99,Nutritional deficiencies
E511,261.2,260-264.99,Nutritional deficiencies
E512,261.2,260-264.99,Nutritional deficiencies
E518,261.2,260-264.99,Nutritional deficiencies
E519,261.2,260-264.99,Nutritional deficiencies
E52,261.2,260-264.99,Nutritional deficiencies
E530,261.2,260-264.99,Nutritional deficiencies
E531,261.2,260-264.99,Nutritional deficiencies
E538,261.2,260-264.99,Nutritional deficiencies
E539,261.2,260-264.99,Nutritional deficiencies
E54,261.3,260-264.99,Nutritional deficiencies
E550,261.41,260-264.99,Nutritional deficiencies
E559,261.4,260-264.99,Nutritional deficiencies
E560,261.0,260-264.99,Nutritional deficiencies
E561,261.0,260-264.99,Nutritional deficiencies
E568,261.0,260-264.99,Nutritional deficiencies
E569,261.0,260-264.99,Nutritional deficiencies
E58,262.0,260-264.99,Nutritional deficiencies
E59,262.0,260-264.99,Nutritional deficiencies
E60,262.0,260-264.99,Nutritional deficiencies
E610,262.0,260-264.99,Nutritional deficiencies
E611,262.0,260-264.99,Nutritional deficiencies
E612,262.0,260-264.99,Nutritional deficiencies
E613,262.0,260-264.99,Nutritional deficiencies
E614,262.0,260-264.99,Nutritional deficiencies
E617,263.0,260-264.99,Nutritional deficiencies
E618,263.0,260-264.99,Nutritional deficiencies
E619,263.0,260-264.99,Nutritional deficiencies
E631,263.0,260-264.99,Nutritional deficiencies
E638,263.0,260-264.99,Nutritional deficiencies
E639,263.0,260-264.99,Nutritional deficiencies
E641,261.1,260-264.99,Nutritional deficiencies
E643,261.41,260-264.99,Nutritional deficiencies
E648,263.0,260-264.99,Nutritional deficiencies
E649,263.0,260-264.99,Nutritional deficiencies
E65,278.3,278-278.99,Obesity
E660,278.1,278-278.99,Obesity
E661,278.1,278-278.99,Obesity
E662,513.3,513-513.99,Respiratory abnormalities
E668,278.1,278-278.99,Obesity
E669,278.1,278-278.99,Obesity
E670,278.0,278-278.99,Obesity
E671,278.0,278-278.99,Obesity
E700,270.12,269-270.99,Disorders of amino-acid transport/metabolism
E701,270.12,269-270.99,Disorders of amino-acid transport/metabolism
E702,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E703,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E708,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E709,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E711,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E713,277.5,277-277.99,Other/unspecified disorders of metabolism
E720,270.1,269-270.99,Disorders of amino-acid transport/metabolism
E721,270.11,269-270.99,Disorders of amino-acid transport/metabolism
E722,270.21,269-270.99,Disorders of amino-acid transport/metabolism
E724,270.21,269-270.99,Disorders of amino-acid transport/metabolism
E725,270.2,269-270.99,Disorders of amino-acid transport/metabolism
E731,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E738,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E739,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E740,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E742,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E743,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E744,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E748,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E749,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E750,331.0,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
E752,331.0,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
E753,277.51,277-277.99,Other/unspecified disorders of metabolism
E754,331.0,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
E755,277.5,277-277.99,Other/unspecified disorders of metabolism
E756,277.51,277-277.99,Other/unspecified disorders of metabolism
E760,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E761,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E762,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
E778,277.51,277-277.99,Other/unspecified disorders of metabolism
E780,272.11,272-272.99,Disorders of lipoid metabolism
E781,272.12,272-272.99,Disorders of lipoid metabolism
E782,272.13,272-272.99,Disorders of lipoid metabolism
E783,272.14,272-272.99,Disorders of lipoid metabolism
E784,272.1,272-272.99,Disorders of lipoid metabolism
E785,272.1,272-272.99,Disorders of lipoid metabolism
E786,277.51,277-277.99,Other/unspecified disorders of metabolism
E788,277.5,277-277.99,Other/unspecified disorders of metabolism
E789,272.9,272-272.99,Disorders of lipoid metabolism
E790,790.6,790-790.99,Nonspecific findings on examination of blood
E791,277.2,277-277.99,Other/unspecified disorders of metabolism
E798,277.2,277-277.99,Other/unspecified disorders of metabolism
E800,277.1,277-277.99,Other/unspecified disorders of metabolism
E801,277.1,277-277.99,Other/unspecified disorders of metabolism
E802,277.1,277-277.99,Other/unspecified disorders of metabolism
E804,277.4,277-277.99,Other/unspecified disorders of metabolism
E806,277.4,277-277.99,Other/unspecified disorders of metabolism
E807,277.4,277-277.99,Other/unspecified disorders of metabolism
E830,275.2,275-275.99,Disorders of mineral metabolism
E831,275.1,275-275.99,Disorders of mineral metabolism
E832,686.0,680-686.99,Skin and subcutaneous tissue infections
E833,275.53,275-275.99,Disorders of mineral metabolism
E834,275.3,275-275.99,Disorders of mineral metabolism
E835,275.5,275-275.99,Disorders of mineral metabolism
E838,275.0,275-275.99,Disorders of mineral metabolism
E839,275.0,275-275.99,Disorders of mineral metabolism
E840,499.0,499-499.99,Cystic fibrosis (move?)
E841,499.0,499-499.99,Cystic fibrosis (move?)
E848,499.0,499-499.99,Cystic fibrosis (move?)
E849,499.0,499-499.99,Cystic fibrosis (move?)
E850,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E851,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E852,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E853,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E854,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E858,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E859,270.33,269-270.99,Disorders of amino-acid transport/metabolism
E86,276.5,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E870,276.11,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E871,276.12,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E872,276.41,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E873,276.42,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E874,276.4,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E875,276.13,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E876,276.14,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E877,276.6,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E878,276.1,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
E880,277.0,277-277.99,Other/unspecified disorders of metabolism
E881,277.51,277-277.99,Other/unspecified disorders of metabolism
E882,277.5,277-277.99,Other/unspecified disorders of metabolism
E888,277.5,277-277.99,Other/unspecified disorders of metabolism
E888,277.0,277-277.99,Other/unspecified disorders of metabolism
E889,277.0,277-277.99,Other/unspecified disorders of metabolism
E890,244.1,240-246.99,DISORDERS OF THYROID GLAND
E891,258.0,251-259.99,Other endocrine disorders
E892,252.2,251-259.99,Other endocrine disorders
E893,258.0,251-259.99,Other endocrine disorders
E894,258.1,251-259.99,Other endocrine disorders
E895,258.0,251-259.99,Other endocrine disorders
E896,255.21,251-259.99,Other endocrine disorders
E898,277.0,277-277.99,Other/unspecified disorders of metabolism
E899,277.0,277-277.99,Other/unspecified disorders of metabolism
F000,290.11,290-292.99,dementia and related cognitive disorders/symptoms
F001,290.11,290-292.99,dementia and related cognitive disorders/symptoms
F002,290.11,290-292.99,dementia and related cognitive disorders/symptoms
F009,290.1,290-292.99,dementia and related cognitive disorders/symptoms
F010,290.16,290-292.99,dementia and related cognitive disorders/symptoms
F011,290.16,290-292.99,dementia and related cognitive disorders/symptoms
F012,290.16,290-292.99,dementia and related cognitive disorders/symptoms
F013,290.16,290-292.99,dementia and related cognitive disorders/symptoms
F019,290.16,290-292.99,dementia and related cognitive disorders/symptoms
F020,290.1,290-292.99,dementia and related cognitive disorders/symptoms
F021,290.1,290-292.99,dementia and related cognitive disorders/symptoms
F021,324.1,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
F022,333.3,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
F023,290.12,290-292.99,dementia and related cognitive disorders/symptoms
F024,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F028,290.1,290-292.99,dementia and related cognitive disorders/symptoms
F03,290.1,290-292.99,dementia and related cognitive disorders/symptoms
F051,290.2,290-292.99,dementia and related cognitive disorders/symptoms
F058,290.2,290-292.99,dementia and related cognitive disorders/symptoms
F059,290.2,290-292.99,dementia and related cognitive disorders/symptoms
F06,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F060,295.3,295-306.99,psychological disorders
F061,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F062,295.3,295-306.99,psychological disorders
F063,296.0,295-306.99,psychological disorders
F064,300.1,295-306.99,psychological disorders
F066,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F067,292.2,290-292.99,dementia and related cognitive disorders/symptoms
F070,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F071,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F072,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F078,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F079,291.4,290-292.99,dementia and related cognitive disorders/symptoms
F09,290.0,290-292.99,dementia and related cognitive disorders/symptoms
F10,316.0,316-319.99,Substance-related disorders
F100,317.0,316-319.99,Substance-related disorders
F101,317.0,316-319.99,Substance-related disorders
F102,317.0,316-319.99,Substance-related disorders
F103,317.1,316-319.99,Substance-related disorders
F104,290.2,290-292.99,dementia and related cognitive disorders/symptoms
F105,317.0,316-319.99,Substance-related disorders
F106,317.1,316-319.99,Substance-related disorders
F107,317.1,316-319.99,Substance-related disorders
F108,317.0,316-319.99,Substance-related disorders
F109,317.0,316-319.99,Substance-related disorders
F110,316.0,316-319.99,Substance-related disorders
F111,316.0,316-319.99,Substance-related disorders
F112,316.0,316-319.99,Substance-related disorders
F113,316.0,316-319.99,Substance-related disorders
F114,316.0,316-319.99,Substance-related disorders
F115,316.0,316-319.99,Substance-related disorders
F117,316.0,316-319.99,Substance-related disorders
F119,316.0,316-319.99,Substance-related disorders
F120,316.0,316-319.99,Substance-related disorders
F121,316.0,316-319.99,Substance-related disorders
F122,316.0,316-319.99,Substance-related disorders
F125,316.0,316-319.99,Substance-related disorders
F128,316.0,316-319.99,Substance-related disorders
F129,316.0,316-319.99,Substance-related disorders
F130,316.0,316-319.99,Substance-related disorders
F131,316.0,316-319.99,Substance-related disorders
F132,316.0,316-319.99,Substance-related disorders
F133,316.0,316-319.99,Substance-related disorders
F134,316.0,316-319.99,Substance-related disorders
F140,316.0,316-319.99,Substance-related disorders
F141,316.0,316-319.99,Substance-related disorders
F142,316.0,316-319.99,Substance-related disorders
F145,316.0,316-319.99,Substance-related disorders
F149,316.0,316-319.99,Substance-related disorders
F150,316.0,316-319.99,Substance-related disorders
F151,316.0,316-319.99,Substance-related disorders
F152,316.0,316-319.99,Substance-related disorders
F153,316.0,316-319.99,Substance-related disorders
F155,316.0,316-319.99,Substance-related disorders
F158,316.0,316-319.99,Substance-related disorders
F159,316.0,316-319.99,Substance-related disorders
F161,316.0,316-319.99,Substance-related disorders
F162,316.0,316-319.99,Substance-related disorders
F163,316.0,316-319.99,Substance-related disorders
F165,316.0,316-319.99,Substance-related disorders
F168,316.0,316-319.99,Substance-related disorders
F169,316.0,316-319.99,Substance-related disorders
F170,318.0,316-319.99,Substance-related disorders
F171,318.0,316-319.99,Substance-related disorders
F172,318.0,316-319.99,Substance-related disorders
F173,318.0,316-319.99,Substance-related disorders
F174,318.0,316-319.99,Substance-related disorders
F179,318.0,316-319.99,Substance-related disorders
F181,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F182,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F185,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F189,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F190,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F191,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F192,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F193,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F194,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F195,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F198,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F199,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F20,295.1,295-306.99,psychological disorders
F200,295.1,295-306.99,psychological disorders
F201,295.1,295-306.99,psychological disorders
F202,295.1,295-306.99,psychological disorders
F203,295.1,295-306.99,psychological disorders
F204,,,
F204,296.22,295-306.99,psychological disorders
F205,295.1,295-306.99,psychological disorders
F206,295.1,295-306.99,psychological disorders
F208,295.1,295-306.99,psychological disorders
F209,295.1,295-306.99,psychological disorders
F21,301.1,295-306.99,psychological disorders
F220,295.2,295-306.99,psychological disorders
F228,295.2,295-306.99,psychological disorders
F229,295.2,295-306.99,psychological disorders
F23,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F230,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F231,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F232,295.3,295-306.99,psychological disorders
F233,295.2,295-306.99,psychological disorders
F238,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F239,291.1,290-292.99,dementia and related cognitive disorders/symptoms
F24,295.2,295-306.99,psychological disorders
F250,295.1,295-306.99,psychological disorders
F251,295.1,295-306.99,psychological disorders
F252,295.1,295-306.99,psychological disorders
F258,295.1,295-306.99,psychological disorders
F259,295.1,295-306.99,psychological disorders
F29,295.3,295-306.99,psychological disorders
F300,296.1,295-306.99,psychological disorders
F301,296.1,295-306.99,psychological disorders
F302,296.1,295-306.99,psychological disorders
F308,296.1,295-306.99,psychological disorders
F309,296.1,295-306.99,psychological disorders
F310,296.1,295-306.99,psychological disorders
F311,296.1,295-306.99,psychological disorders
F312,296.1,295-306.99,psychological disorders
F313,296.1,295-306.99,psychological disorders
F314,296.1,295-306.99,psychological disorders
F315,296.1,295-306.99,psychological disorders
F316,296.1,295-306.99,psychological disorders
F317,296.1,295-306.99,psychological disorders
F318,296.1,295-306.99,psychological disorders
F319,296.1,295-306.99,psychological disorders
F32,,,
F320,,,
F321,,,
F322,,,
F323,,,
F328,296.1,295-306.99,psychological disorders
F328,296.22,295-306.99,psychological disorders
F329,,,
F330,296.22,295-306.99,psychological disorders
F331,296.22,295-306.99,psychological disorders
F332,296.22,295-306.99,psychological disorders
F333,296.22,295-306.99,psychological disorders
F334,296.22,295-306.99,psychological disorders
F338,296.22,295-306.99,psychological disorders
F339,,,
F340,301.0,295-306.99,psychological disorders
F341,300.4,295-306.99,psychological disorders
F348,296.0,295-306.99,psychological disorders
F349,296.0,295-306.99,psychological disorders
F380,296.0,295-306.99,psychological disorders
F381,296.0,295-306.99,psychological disorders
F388,296.0,295-306.99,psychological disorders
F39,296.0,295-306.99,psychological disorders
F400,300.12,295-306.99,psychological disorders
F401,300.12,295-306.99,psychological disorders
F402,300.13,295-306.99,psychological disorders
F408,300.13,295-306.99,psychological disorders
F409,300.13,295-306.99,psychological disorders
F410,300.12,295-306.99,psychological disorders
F411,300.11,295-306.99,psychological disorders
F412,300.1,295-306.99,psychological disorders
F413,300.1,295-306.99,psychological disorders
F418,300.1,295-306.99,psychological disorders
F419,300.1,295-306.99,psychological disorders
F420,300.3,295-306.99,psychological disorders
F421,300.3,295-306.99,psychological disorders
F422,300.3,295-306.99,psychological disorders
F428,300.3,295-306.99,psychological disorders
F429,300.3,295-306.99,psychological disorders
F430,300.8,295-306.99,psychological disorders
F431,300.9,295-306.99,psychological disorders
F432,304.0,295-306.99,psychological disorders
F438,304.0,295-306.99,psychological disorders
F439,304.0,295-306.99,psychological disorders
F440,303.1,295-306.99,psychological disorders
F441,303.1,295-306.99,psychological disorders
F442,303.0,295-306.99,psychological disorders
F443,295.0,295-306.99,psychological disorders
F444,303.4,295-306.99,psychological disorders
F445,303.4,295-306.99,psychological disorders
F446,303.4,295-306.99,psychological disorders
F447,303.1,295-306.99,psychological disorders
F448,295.0,295-306.99,psychological disorders
F449,303.1,295-306.99,psychological disorders
F450,303.4,295-306.99,psychological disorders
F451,303.4,295-306.99,psychological disorders
F452,303.4,295-306.99,psychological disorders
F453,303.3,295-306.99,psychological disorders
F454,303.4,295-306.99,psychological disorders
F458,303.3,295-306.99,psychological disorders
F459,303.4,295-306.99,psychological disorders
F480,300.0,295-306.99,psychological disorders
F481,303.1,295-306.99,psychological disorders
F488,300.0,295-306.99,psychological disorders
F488,306.0,295-306.99,psychological disorders
F488,303.0,295-306.99,psychological disorders
F489,300.0,295-306.99,psychological disorders
F500,305.21,295-306.99,psychological disorders
F501,305.2,295-306.99,psychological disorders
F502,305.2,295-306.99,psychological disorders
F505,305.2,295-306.99,psychological disorders
F508,305.2,295-306.99,psychological disorders
F509,305.2,295-306.99,psychological disorders
F510,327.4,327-328.99,Sleep disorders
F511,327.0,327-328.99,Sleep disorders
F511,327.1,327-328.99,Sleep disorders
F512,327.6,327-328.99,Sleep disorders
F513,327.5,327-328.99,Sleep disorders
F514,327.5,327-328.99,Sleep disorders
F515,327.4,327-328.99,Sleep disorders
F519,327.0,327-328.99,Sleep disorders
F520,302.1,295-306.99,psychological disorders
F521,302.0,295-306.99,psychological disorders
F522,302.0,295-306.99,psychological disorders
F522,605.0,600-609.99,male genital disorders
F524,302.0,295-306.99,psychological disorders
F526,302.0,295-306.99,psychological disorders
F527,605.0,600-609.99,male genital disorders
F527,302.0,295-306.99,psychological disorders
F528,302.0,295-306.99,psychological disorders
F529,302.0,295-306.99,psychological disorders
F54,306.0,295-306.99,psychological disorders
F55,316.0,316-319.99,Substance-related disorders
F59,303.3,295-306.99,psychological disorders
F600,301.0,295-306.99,psychological disorders
F601,301.1,295-306.99,psychological disorders
F602,301.2,295-306.99,psychological disorders
F603,301.2,295-306.99,psychological disorders
F604,301.0,295-306.99,psychological disorders
F605,301.1,295-306.99,psychological disorders
F606,301.0,295-306.99,psychological disorders
F607,301.0,295-306.99,psychological disorders
F608,301.0,295-306.99,psychological disorders
F609,301.0,295-306.99,psychological disorders
F61,301.0,295-306.99,psychological disorders
F620,290.3,290-292.99,dementia and related cognitive disorders/symptoms
F621,306.0,295-306.99,psychological disorders
F630,312.3,312-315.99,Developmental/behavioral disorders
F631,312.3,312-315.99,Developmental/behavioral disorders
F632,312.3,312-315.99,Developmental/behavioral disorders
F633,315.0,312-315.99,Developmental/behavioral disorders
F633,312.3,312-315.99,Developmental/behavioral disorders
F639,312.3,312-315.99,Developmental/behavioral disorders
F640,302.0,295-306.99,psychological disorders
F641,302.0,295-306.99,psychological disorders
F648,302.0,295-306.99,psychological disorders
F649,302.0,295-306.99,psychological disorders
F650,302.0,295-306.99,psychological disorders
F659,302.0,295-306.99,psychological disorders
F660,302.0,295-306.99,psychological disorders
F661,302.0,295-306.99,psychological disorders
F662,302.0,295-306.99,psychological disorders
F669,302.0,295-306.99,psychological disorders
F680,303.0,295-306.99,psychological disorders
F680,301.0,295-306.99,psychological disorders
F681,301.0,295-306.99,psychological disorders
F69,301.0,295-306.99,psychological disorders
F700,315.3,312-315.99,Developmental/behavioral disorders
F701,315.3,312-315.99,Developmental/behavioral disorders
F708,315.3,312-315.99,Developmental/behavioral disorders
F709,315.3,312-315.99,Developmental/behavioral disorders
F711,315.3,312-315.99,Developmental/behavioral disorders
F719,315.3,312-315.99,Developmental/behavioral disorders
F729,315.3,312-315.99,Developmental/behavioral disorders
F789,315.3,312-315.99,Developmental/behavioral disorders
F790,315.3,312-315.99,Developmental/behavioral disorders
F799,315.3,312-315.99,Developmental/behavioral disorders
